courtId,caseNumberFull,numCanonicalDocsCreated
miwdc,1:21-mj-00488,1
miwdc,1:22-mj-00293,1
miwdc,1:22-mj-00126,1
miwdc,1:24-mj-00178,1
miwdc,1:22-mj-00385,1
miwdc,1:23-mj-00012,1
mddc,8:23-mj-02389,1
mddc,1:22-mj-01859,1
mddc,1:22-mj-01858,1
mddc,1:22-mj-00206,1
mddc,1:21-mj-02157,1
mddc,1:21-mj-02156,1
mddc,1:22-mj-00641,1
gasdc,2:23-mj-00003,2
gasdc,1:22-mj-00001,1
nddc,1:22-mj-00304,1
nddc,1:22-mj-00397,1
nddc,1:23-mj-00639,1
nddc,1:23-mj-00698,1
nddc,1:24-mj-00016,1
nddc,1:24-mj-00072,1
nddc,1:24-mj-00073,1
nddc,1:22-mj-00557,1
nddc,3:23-mj-00505,1
nddc,1:23-mj-00591,1
nddc,3:22-mj-00334,1
nddc,1:22-mj-00377,1
nddc,1:22-mj-00584,1
nddc,1:22-mj-00627,1
nddc,1:23-mj-00012,1
nddc,3:23-mj-00019,1
nddc,3:23-mj-00003,1
wawdc,2:22-mj-00127,1
wawdc,2:24-mj-00173,1
wawdc,2:23-mj-00039,4
wawdc,2:22-mj-00200,3
wawdc,2:22-mj-00496,1
ilcdc,3:22-mj-03098,1
ilcdc,2:22-mj-07084,1
ilcdc,2:22-mj-07094,1
paedc,2:23-mj-00693,1
okedc,6:21-mj-00371,1
okedc,6:21-mj-00403,1
okedc,6:22-mj-00058,1
okedc,6:23-mj-00009,1
okedc,6:21-mj-00446,1
okedc,6:21-mj-00452,1
okedc,6:23-mj-00034,1
okedc,6:22-mj-00063,1
medc,2:21-mj-00215,1
medc,2:21-mj-00218,1
medc,2:22-mj-00017,1
medc,1:23-mj-00044,1
medc,1:24-mj-00099,1
medc,2:24-mj-00098,1
medc,2:22-mj-00023,1
medc,2:23-mj-00050,1
gudc,1:23-mj-00040,1
gudc,1:23-mj-00041,1
gudc,1:23-mj-00056,1
casdc,3:24-mj-01063,1
casdc,3:24-mj-01632,1
casdc,3:24-mj-02539,1
casdc,3:24-mj-01062,1
casdc,3:24-mj-01047,1
casdc,3:24-mj-00898,1
casdc,3:23-mj-03972,1
casdc,3:23-mj-04010,1
casdc,3:23-mj-03690,1
casdc,3:23-mj-02081,1
casdc,3:23-mj-01837,1
casdc,3:23-mj-01683,1
casdc,3:23-mj-01568,1
casdc,3:23-mj-01308,1
casdc,3:23-mj-01307,1
casdc,3:22-mj-02736,1
casdc,3:22-mj-01456,1
casdc,3:22-mj-00720,1
casdc,3:22-mj-00415,1
cacdc,2:23-mj-03282,1
cacdc,2:23-mj-03281,1
cacdc,2:22-mj-03119,1
akdc,3:21-mj-00619,1
akdc,3:22-mj-00075,1
akdc,3:22-mj-00099,1
akdc,3:22-mj-00049,1
akdc,3:21-mj-00654,1
akdc,3:22-mj-00109,1
ohndc,1:24-mj-03056,1
ohndc,3:22-mj-05012,1
ohndc,3:22-mj-05240,1
ohndc,5:23-mj-01110,1
scdc,2:22-cr-00626,1
txndc,3:22-mj-00085,1
vtdc,2:22-mj-00175,1
nddc,1:22-mj-00331,1
nddc,1:22-mj-00399,1
nddc,1:23-mj-00186,1
nddc,1:23-mj-00394,1
nddc,3:23-mj-00049,1
nddc,3:23-mj-00361,1
nddc,3:23-mj-00370,1
nddc,1:21-mj-00337,1
nddc,1:21-mj-00343,1
mtdc,1:24-mj-00014,1
mtdc,1:24-mj-00012,1
ncmdc,1:23-mj-00127,1
ncmdc,1:23-mj-00126,1
ncmdc,1:23-mj-00125,1
wiedc,1:22-mj-00717,1
wiedc,2:21-mj-00218,1
wiedc,2:21-mj-00448,1
wiedc,2:21-mj-00497,1
wiedc,2:21-mj-00500,1
wiedc,2:21-mj-00521,1
wiedc,2:21-mj-00529,1
wiedc,2:21-mj-00530,1
wiedc,2:21-mj-00540,1
wiedc,2:21-mj-01049,1
wiedc,2:22-mj-00014,1
wiedc,2:22-mj-00025,1
wiedc,2:22-mj-00028,1
wiedc,2:22-mj-00031,1
wiedc,2:22-mj-00036,1
wiedc,2:22-mj-00128,1
wiedc,2:22-mj-00142,1
wiedc,2:22-mj-00151,1
wiedc,2:22-mj-00301,1
wiedc,2:22-mj-00307,1
wiedc,2:22-mj-00560,1
wiedc,2:22-mj-00574,1
wiedc,2:22-mj-00575,1
wiedc,2:22-mj-00360,1
wiedc,2:22-mj-00361,1
wiedc,2:22-mj-00836,1
wiedc,2:22-mj-00853,1
wiedc,2:22-mj-00869,1
wiedc,2:22-mj-00873,1
wiedc,2:22-mj-00877,1
wiedc,2:22-mj-00907,1
wiedc,2:22-mj-00941,1
wiedc,2:22-mj-00943,1
wiedc,2:22-mj-00945,1
wiedc,2:22-mj-00954,1
wiedc,2:22-mj-00964,1
wiedc,2:22-mj-00981,1
wiedc,2:22-mj-00994,1
wiedc,2:22-mj-01806,1
wiedc,2:22-mj-01809,1
wiedc,2:22-mj-01818,1
wiedc,2:23-mj-00025,1
wiedc,2:23-mj-00026,1
wiedc,2:23-mj-00335,1
wiedc,2:23-mj-00347,1
wiedc,2:23-mj-00367,1
wiedc,2:23-mj-00372,1
wiedc,2:23-mj-00914,1
wiedc,2:24-mj-00096,1
wiedc,2:24-mj-00114,1
wiedc,2:21-mj-00495,1
wiedc,2:22-mj-00068,1
wiedc,2:22-mj-00317,1
wiedc,2:22-mj-00330,1
wiedc,2:22-mj-00338,1
wiedc,2:22-mj-00339,1
wiedc,2:22-mj-00409,1
wiedc,2:22-mj-00520,1
wiedc,2:22-mj-00559,1
wiedc,2:22-mj-00805,1
wiedc,2:22-mj-00834,1
wiedc,2:22-mj-00987,1
wiedc,2:22-mj-01800,1
wiedc,2:22-mj-00300,1
wiedc,2:23-mj-00023,1
nhdc,1:22-mj-00017,1
nhdc,1:22-mc-00019,1
nhdc,1:21-mj-00334,1
nhdc,1:22-mc-00009,1
nhdc,1:21-mj-00327,1
nhdc,1:22-mj-00170,1
nhdc,1:24-mj-00097,1
nhdc,1:23-mj-00153,1
nhdc,1:21-mc-00072,1
nhdc,1:22-mj-00108,1
nhdc,1:22-mc-00069,1
nhdc,1:22-mj-00103,1
nhdc,1:21-mc-00073,1
nhdc,1:21-mj-00281,1
nhdc,1:23-mj-00052,1
nhdc,1:21-mc-00081,1
nhdc,1:22-mj-00048,1
nhdc,1:22-mj-00033,1
nhdc,1:21-mj-00263,1
nhdc,1:23-mj-00190,1
nhdc,1:22-mj-00105,1
nhdc,1:22-mj-00119,1
nhdc,1:21-mc-00074,1
nhdc,1:23-mj-00219,1
nhdc,1:21-mj-00304,1
nhdc,1:21-mj-00326,1
nhdc,1:22-mj-00180,1
nhdc,1:21-mc-00071,1
nhdc,1:21-mc-00075,1
nhdc,1:23-mc-00005,1
nhdc,1:21-mj-00271,1
nhdc,1:21-mj-00275,1
nhdc,1:22-mj-00188,1
nhdc,1:22-mj-00018,1
nhdc,1:22-mj-00141,1
nhdc,1:21-mj-00206,1
nhdc,1:21-mj-00333,1
nhdc,1:22-mc-00064,1
nhdc,1:21-mj-00282,1
nhdc,1:22-mc-00027,1
nhdc,1:23-mj-00012,1
nhdc,1:22-mj-00012,1
nhdc,1:22-mc-00005,1
nhdc,1:23-mj-00154,1
nhdc,1:22-mc-00052,1
nhdc,1:24-mj-00002,1
nhdc,1:24-mj-00067,1
casdc,3:22-mj-00243,1
casdc,3:23-mj-04455,1
casdc,3:22-mj-01745,1
casdc,3:22-mj-01995,1
casdc,3:22-mj-02013,1
casdc,3:22-mj-03352,1
casdc,3:23-mj-03689,1
ilnd,1:23-mc-00706,1
kyed,5:22-mj-05284,1
kyed,5:22-mj-05293,1
kyed,5:22-mj-05038,1
kyed,5:22-mj-05206,1
kyed,5:22-mj-05288,1
kyed,5:22-mj-05349,1
lamd,3:21-mj-00089,1
mad,1:23-mj-07280,1
mdd,1:23-mj-01008,1
mowd,6:23-sw-02120,1
ndd,3:22-mj-00432,1
nhd,1:24-mj-00320,1
nywd,6:21-mj-00728,1
nywd,6:21-mj-00733,1
nywd,6:22-mj-00651,1
paed,2:22-mj-00402,1
paed,2:23-mj-01684,1
vaed,1:21-sw-00648,1
wied,2:23-mj-00807,1
wied,2:22-mj-00851,1
wied,2:23-mj-00554,1
wvsd,2:21-mj-00157,1
